채수위치,n,holdout_n,mae_naive_persist,mae_exp_smooth_1step,exp_smooth_error
문의,521,79,2549.986046009359,6910.854267797043,
추동,521,79,2179.319613888845,6569.756931243668,
회남,521,79,7326.433879489334,11188.009295356322,
