feature,mean_abs_shap
total_cyano,1.400445648328744
수온(℃)_lag7,0.4431302217818071
탁도,0.286070020143971
수온(℃)_roll7m,0.25959937431331315
total_cyano_lag1,0.23946373743092558
microcystis,0.19851865437066124
aphanizomenon_roll14m,0.15957228326577977
gdd14,0.15798343256259706
수온(℃)_lag1,0.12044428979182992
수온(℃)_lag3,0.11949230205313602
microcystis_lag14,0.11282728024519895
oscillatoria,0.10858435916730616
stage_lag1,0.10520396150306272
수온(℃),0.09423041169849657
평균기온(°C)_lag7,0.09266740471125053
total_cyano_roll7max,0.08375230439325387
oscillatoria_lag1,0.07415955206912953
sin_month,0.07316557070744012
유입량(㎥/s)_lag1,0.0667946124283744
탁도_lag1,0.06632922562506681
탁도_roll7m,0.06199103973990146
oscillatoria_roll14m,0.06177195046946727
유입량(㎥/s),0.057790155590209426
pH,0.05486284349745471
total_cyano_roll14max,0.05393625033100188
total_cyano_roll7m,0.053072404717132385
oscillatoria_roll7m,0.05215102051264732
oscillatoria_roll14max,0.05111752375830672
평균기온(°C)_roll7m,0.04783341573691226
평균기온(°C),0.04559803312995507
탁도_lag7,0.044361143836741446
수위(EL.m)_lag7,0.03961695359437328
total_cyano_roll14m,0.03853077208617033
평균 상대습도(%)_roll7m,0.037028300180329876
oscillatoria_lag14,0.03617666242033751
일강수량(mm)_roll7sum,0.034274561619386995
week_of_year,0.03378171380244714
수위(EL.m)_lag3,0.03374225848069971
일강수량(mm)_roll14sum,0.03358205203819318
수위(EL.m)_roll7m,0.0331131964802149
DO(㎎/L),0.03291175941689026
합계 일사량(MJ/m2)_roll7m,0.0326845559454026
DO(㎎/L)_lag7,0.031763403936238346
aphanizomenon,0.0316926263942443
oscillatoria_lag7,0.03164946753443888
pH_roll7m,0.031123754420131235
microcystis_roll14m,0.03064845123257584
pH_lag7,0.030543918110986164
최고기온(°C)_roll7m,0.03028042898560707
oscillatoria_roll3m,0.0300614495619106
total_cyano_roll3max,0.02899634433144139
평균기온(°C)_lag3,0.02664687738198417
저수율(%)_lag7,0.026589649777059052
Chl-a (㎎/㎥)_lag14,0.02645769096451283
oscillatoria_lag3,0.02621230199820147
총방류량(㎥/s)_lag7,0.02410909906605052
평균 상대습도(%),0.023691801982903854
총방류량(㎥/s),0.023106351069205045
평균기온(°C)_lag1,0.02185366159416823
total_cyano_roll3m,0.02142687765299873
aphanizomenon_roll7max,0.021017052077109584
aphanizomenon_roll14max,0.020958392353430697
anabaena_lag14,0.020357496418456675
total_cyano_lag3,0.02006719671424054
탁도_lag3,0.019758095331843646
temp_diff_roll7m,0.01918944465852494
total_cyano_lag14,0.01850144532318129
aphanizomenon_lag7,0.018491240580055735
gdd7,0.018031469450796755
