채수위치,n_holdout,stage_accuracy,stage_f1_macro,binary_auc,binary_recall_0.5,reg_mae_cells
문의,76,0.6973684210526315,0.5173452956061652,0.997212543554007,0.9428571428571428,2740.169276188096
추동,76,0.7236842105263158,0.5720699054032388,0.9958333333333333,0.9444444444444444,2913.4601387134117
회남,76,0.75,0.614014014014014,0.9936575052854122,0.8484848484848485,6864.407100262296
